iron man,"I am iron man!. Has he lost his mind?. Can he see or is he blind?. Can he walk at all,. Or if he moves will he fall?. Is he alive or dead?. Has he thoughts within his head?. We'll just pass him there. Why should we even care?. He was turned to steel. In the great magnetic field. When he travelled time. For the future of mankind. Nobody wants him. He just stares at the world. Planning his vengeance. That he will soon unfurl. Now the time is here. For iron man to spread fear. Vengeance from the grave. Kills the people he once saved. Nobody wants him. They just turn their heads. Nobody helps him. Now he has his revenge. Heavy boots of lead. Fills his victims full of dread. Running as fast as they can. Iron man lives again!"
paranoid,"Finished with my woman. Cause she couldn't help me with my mind. People think I'm insane because. I am frowning all the time. All day long I think of things. But nothing seems to satisfy. Think I'll lose my mind if. I don't find something to pacify. Can you help me? Occupy my brain ?. Oh yeah. I need someone to show me. The things in life that I can't find. I can't see the things that make true happiness,. I must be blind. Make a joke and I will sigh. And you will laugh and I will cry. Happiness I cannot feel. And love to me is so unreal. And so as you hear these words. Telling you now all of my state. I tell you to enjoy life. I wish I could but it's too late"
black sabbath,"What is this that stands before me?. Figure in black which points at me. Turn around quick, and start to run. Find out I'm the chosen one - Oh no!. Big black shape with eyes of fire. Telling people their desire. Satan's sitting there, he's smiling. Watch those flames get higher and higher. Oh no, no, please God help me!. Child cries out for his mother. Mother's screaming in the fire. Satan points at me again. Opens the door to push me in. Oh No!. This is the end my friend. Satan's coming 'round the bend. people running 'cause they're scared. You people better go and beware!. No! No! Please! No!"
n.i.b.,"Some people say my love cannot be true. Please believe me, my love, and I'll show you. I will give you those things you thought unreal. The sun, the moon, the stars; all bear my seal. Oh yeah!. Follow me now and you will not regret. Leaving the life you led before we met. You are the first to have this love of mine. Forever with me 'til the end of time. Your love for me has just got to be real. Before you know the way I'm going to feel. I'm going to feel. I'm going to feel. Oh yeah!. Now I have you with me, under my power. Our love grows stronger now with every hour. Look into my eyes, you'll see who I am. My name is Lucifer, please take my hand. Oh yeah!. Follow me now and you will not regret. Leaving the life you led before we met. You are the first to have this love of mine. Forever with me 'til the end of time. Your love for me has just got to be real. Before you know the way I'm going to feel. I'm going to feel. I'm going to feel. Oh yeah!. Now I have you with me, under my power. Our love grows stronger now with every hour. Look into my eyes, you will see who I am. My name is Lucifer, please take my hand."
changes,"I feel unhappy, I feel so sad. I've lost the best friend, that I ever had.. She was my woman, I love her so.. But it's too late now, I've let her go.. I'm going through changes.. I'm going through changes.. We shared the years, we shared each day.. In love together, we found a way.. But soon the world, had its evil way.. My heart was blinded, love went astray.. I'm going through changes.. I'm going through changes.. It took so long, to realize.. And I can still hear her last goodbyes.. Now all my days, are filled with tears.. Wish I could go back, and change these years.. I'm going through changes.. I'm going through changes."
war pigs,"Generals gathered in their masses. Just like witches at black masses. Evil minds that plot destruction. Sorcerers of death's construction. In the fields the bodies burning. As the war machine keeps turning. Death and hatred to mankind. Poisoning their brainwashed minds, oh lord yeah!. Politicians hide themselves away. They only started the war. Why should they go out to fight?. They leave that role to the poor. Time will tell on their power minds. Making war just for fun. Treating people just like pawns in chess. Wait 'till their judgement day comes, yeah!. Now in darkness, world stops turning. Ashes where their bodies burning. No more war pigs at the power. Hand of god has struck the hour. Day of judgement, god is calling. On their knees, the war pigs crawling. Begging mercy for their sins. Satan, laughing, spreads his wings. Oh lord, yeah!"
heaven and hell,"Sing me a song, you're a singer. Do me a wrong, you're a bringer of evil. The devil is never a maker. The less that you give, you're a taker. So it's on and on and on, it's heaven and hell. Oh well. The lover of life's not a sinner. The ending is just a beginner. The closer you get to the meaning. The sooner you'll know that you're dreaming. So it's on and on and on, oh it's on and on and on. It goes on and on and on, Heaven and Hell. I can tell. Fool, fool. Oh uh. Yeah, yeah, yeah. Well if it seems to be real, it's illusion. For every moment of truth, there's confusion in life. Love can be seen as the answer,. but nobody bleeds for the dancer. And it's on and on, on and on and on and on and on.... They say that life's a carousel. Spinning fast, you've got to ride it well. The world is full of kings and queens. Who blind your eyes and steal your dreams. It's heaven and hell, oh well. And they'll tell you black is really white. The moon is just the sun at night. And when you walk in golden halls. You get to keep the gold that falls. It's heaven and hell, oh no. Fool, fool. You've got to bleed for the dancer. Fool, fool. Look for the answer. Fool, fool, fool"
sabbath bloody sabbath,"You see right through distorted eyes. You know you have to learn. The execution of your mind. You really have to turn. The race is run, the book is read. The end begins to show. The truth is out, the lies are old. But you don't want to know. Nobody will ever let you know. When you ask the reasons why. They just tell you that you're on your own. Fill your head all full of lies-lies-lies-lies-lies. The people who have crippled you. You want to see them burn. The gates of life have closed on you. And there's just no return. You're wishing that the hands of doom. Would take your mind away. And you don't care if you don't see. Again the light of day. Nobody will ever let you know. When you ask the reasons why. They just tell you that you're on your own. Fill your head all full of lies-lies-lies-lies-lies. You bastards!. Where can you run to?. What more can you do?. No more tomorrow. Life is killing you. Dreams turn to nightmares. Heaven turns to Hell. Burns out confusion. Nothing more to tell, yeah. Everything around you. What's it coming to?. God knows as your dog knows. Bog blast all of you. Sabbath, Bloody Sabbath. Nothing more to do. Living just for dying. Dying just for you, yeah...."
the wizard,"Misty morning, clouds in the sky. Without warning, a wizard walks by. Casting his shadow, weaving his spell. Funny clothes, trinkling bell. Never talking. Just keep walking. spreading his magic. Evil power disappears. Demons worry when the wizard is near. He turns tears into joy. Everyone's happy when the wizard walks by. Never talking. Just keep walking. spreading his magic. Sun is shining, clouds have gone by. All the people give a happy sigh. He has passed by, giving his sign. Left all the people feeling so fine. Never talking. Just keep walking. spreading his magic"
children of the sea,"In the misty morning, on the edge of time. We've lost the rising sun, a final sign. As the misty morning rolls away to die. reaching for the stars, we blind the sky. We sailed across the air before we learned to fly. We thought that it could never end. We'd glide above the ground before we learned to run, run. Now it seems our world has come undone. Oh they say that it's over. and it just had to be. ooh they say that it's over. we're lost children of the sea, oh. We made the mountains shake with laughter as we played. hiding in our corner of the world. Then we did the demon dance and rushed to nevermore. threw away the key and locked the door. Oh they say that it's over, yeah. and it just had to be. yes they say that it's over. we're lost children of the sea. In the misty morning, on the edge of time. We've lost the rising sun, a final sign. As the misty morning rolls away to die. reaching for the stars, we blind the sky. Oh they say that it's over, yeah. and it just had to be. oh they say that it's over. poor lost children of the sea, yeah. LOOK OUT! the sky is falling down!. LOOK OUT! The world is spinning round and round and round!. LOOK OUT! The sun is going black, black. LOOK OUT! It's never never never coming back, LOOK OUT!."
