killing in the name,"Killing in the name of!. Some of those that work forces. Are the same that burn crosses. Some of those that work forces. Are the same that burn crosses. Some of those that work forces. Are the same that burn crosses. Some of those that work forces. Are the same that burn crosses. Huh!. Killing in the name of!. Killing in the name of. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. But now you do what they told ya. Well now you do what they told ya. Those who died are justified. for wearing the badge. They're the chosen whites. You justify those that died. by wearing the badge. They're the chosen whites. Those who died are justified. for wearing the badge. They're the chosen whites. You justify those that died. by wearing the badge. They're the chosen whites. Some of those that work forces,. Are the same that burn crosses. Some of those that work forces,. Are the same that burn crosses. Some of those that work forces. Are the same that burn crosses. Some of those that work forces,. Are the same that burn crosses. Uggh!. Killing in the name of!. Killing in the name of. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. And now you do what they told ya. now you're under control. And now you do what they told ya. now you're under control. And now you do what they told ya. now you're under control. And now you do what they told ya. now you're under control. And now you do what they told ya. now you're under control. And now you do what they told ya. now you're under control. And now you do what they told ya. now you're under control. And now you do what they told ya!. Those who died are justified. for wearing the badge. They're the chosen whites. You justify those that died. by wearing the badge. They're the chosen whites. Those who died are justified. for wearing the badge. They're the chosen whites. You justify those that died. by wearing the badge. They're the chosen whites. Come on!. Yeah! come on!. Fuck you, I won't do what you tell me. Fuck you, I won't do what you tell me. Fuck you, I won't do what you tell me. Fuck you, I won't do what you tell me. Motherfucker!. Uggh!"
bulls on parade,Come wit it now. This microphone explodes shatterin the molds. Etheir drop the hits like de la o or get the fuck off. The commode with that sure shot sure ta make. The bodies drop drop and don't copy yo don't call. This a co-op terror reigns drenching quenchin. The thirst of power dons that five sided fist-a-gon. Tha rotten sore on the face of mother earth gets. Bigger the trigger's cold empty ya purse. Rally round the family. With a pocket full of shells. They rally round the family. With a pocket full of shells. Weapons not food not clothes not shoes not need. Just feed tha war cannibal animal I walk the corner to. The rubble that used to be a library line up outside the. Mind's cemetary now what we don't know keeps. The contract's alive and movin they don't gotta. Burn the boooks they just remove while arms. Warehouses fill as quick as the cells. Rally round the family. Pocket full of shells. Rally round the family. With a pocket full of shells. They rally round the family. With a pocket full of shells. Come wit it now. Bulls on parade
guerilla radio,"Transmission third world war third round. A decade of the weapon of sound above ground. No shelter if youre looking for shade. I lick shots at the brutal charade. As the polls close like a casket. On truth devoured. Silent play in the shadow of power. A spectacle monopolized. The cameras eyes on choice disguised. Was it cast for the mass who burn and toil?. Or for the vultures who thirst for blood and oil?. Yes a spectacle monopolized. They hold the reins, stole your eyes. All the fistagons the bullets and bombs. Who stuff the banks. Who staff the party ranks. More for Gore or the son of a drug lord. None of the above fuck it cut the cord. Lights out guerilla Radio. Turn that shit up. Contact I highjacked the frequencies. Blockin the beltway. Move on Dc. Way past the days of bombin Mcs. Sound off Mumia guan be free. Who gottem yo check the federal file. All you pen devils know the trial was vile. Army of pigs try to silence my style. Off em all out that box its my radio dial. Lights out guerilla Radio. Turn that shit up. It has to start somewhere. It has to start sometime. What better place than here. What better time than now. All hell can't stop us now. All hell can't stop us now. All hell can't stop us now. All hell can't stop us now. All hell can't stop us now"
wake up,"Although ya try to descredit. Ya still never edit. The needle I thread it. Radically poetic. Standin with the fury that they had in '66. And like e-double I'm mad, still knee deep in the system's shit. Hoover, he was a body remover. I'll give you a dose but it could never come close to the rage. Built up inside a me. Fist in the air in the land of hypocracy. Movements come and movements go. Leaders speak movements sieze when their heads are flown. Cause all these punks got bullets in their heads. Departments of police the judges the feds. Networks at work keepin people calm. You know they went after King, when he spoke out on Vietnam. He turned the power to the have-nots. And then came the shot. With poetry my mind I flex. Flip like Wilson, vocals never lack and dat finesse. Who I got ta who I got to do to wake you up. To shake you up to break the structure up. Cause blood still flows in the gutter. I'm like taking photos. Mad boy kicks open the shutter. Set the grove. Then stick and move like I was Cassius. Rep the stutter step Then bomb a left upon the fascists. Yeah, the group of several federal men. Who pulled schemes on the dream. And put it to an end. Ya betta beware. Of retribution with mind war. 20/20 visions and murals with metaphors. Networks at work, keepin' people calm. Ya know they murdered X. And tried to blame it on Islam. He turned the power to the have-nots. And then came the shot. Urrrgh. What was the price on his head. What was the price on his head. I think I heard a shot x5. I think I heard, I think I heard a shot. Black Nationalism. He may be a brave contenner for this position. Should he abandon it supposed obediance to the. white literal docteren of non-violence. And embrace black nationalism. Through counter intelligence it should be possible to pinpoint potential. trouble-makers x2. Through counter intelligence it should be possible to pinpoint potential. trouble makers and neutralize them x4. Wake up. Wake up. Wake up. Wake up. Wake up. Wake up. Wake up. Wake up. How long, not long. Cause what you reap. Is what you sow!"
bombtrack,"It's just another bombtrack. And suckas be thinkin that they can fade this. But I'm gonna drop it at a higher level. 'Cause I'm inclined to stoop down. Hand out some beat downs. Cold runna train on punk ho's that. Think they run the game. But I learned to burn that bridge and delete. Those who compete at a level that's obsolete. Instead I warm my hands on the flames of the flag. As I recall our downfall. And the business that burned us all. See through the news and views that twist reality. Enough. I call the bluff. Manifest destiny. Landlords and power whores. On my people they took turns. Dispute the suits I ignite. And then watch 'em burn. The thoughts of a militant mind. Hardline, hardline after hardline. Landlords and power whores. On my people they took turns. Dispute the suits I ignite. And then watch 'em burn. Chorus:. Burn, burn, yes ya gonna burn. Burn, burn, yes ya gonna burn. Burn, burn, yes ya gonna burn. Burn, burn, yes ya gonna burn. Another flunky radical bombtrack. Started as a sketch in my notebook. But now dope hooks make punks take another look. My thoughts ya hear and ya begin to fear. That ya card will get pulled if ya interfere. With the thoughts of a militant mind. Hardline, hardline after hardline. Landlords and power whores. On my people they took turns. Dispute the suits I ignite. And then watch 'em burn. Chorus."
bullet in the head,"This time the bullet cold rocked ya. A yellow ribbon instead of a swastika. Nothin' proper about ya propaganda. Fools follow rules when the set commands ya. Said it was blue. When ya blood was red. That's how ya got a bullet blasted through ya head. Blasted through ya head. Blasted through ya head. I give a shout out to the living dead. Who stood and watched as the feds cold centralised. So serene on the screen. You was mesmerised. Cellular phones soundin' a death tone. Corporations cold. Turn ya to stone before ya realise. They load the clip in omnicolour. Said they pack the 9, they fire it at prime time. The sleeping gas, every home was like Alcatraz. And mutha fuckas lost their minds. Just victims of the in-house drive-by. They say jump, you say how high. Yeah. Just victims of the in-house drive-by. They say jump, you say how high. Run it!. Just victims of the in-house drive-by. They say jump, you say how high. Just victims of the in-house drive-by. They say jump, you say how high. Check-a, check-a, check it out. They load the clip in omnicolour. Said they pack the 9, they fire it at prime time. The sleeping gas, every home was like Alcatraz. And mutha fuckas lost their minds. No escape from the mass mind rape. Play it again jack and then rewind the tape. And then play it again and again and again. Until ya mind is locked in. Believin' all the lies that they're tellin' ya. Buyin' all the products that they're sellin' ya. They say jump and ya say how high. Ya brain-dead. Ya gotta fuckin' bullet in ya head. Just victims of the in-house drive-by. They say jump, you say how high. Yeah. Just victims of the in-house drive-by. They say jump, you say how high. Uggh! Yeah! Yea!. Ya standin' in line. Believin' the lies. Ya bowin' down to the flag. Ya gotta bullet in ya head. Ya standin' in line. Believin' the lies. Ya bowin' down to the flag. Ya gotta bullet in ya head. A bullet in ya head (8 times, building to a shout). A bullet in ya head (7 times, shouted/screamed). Ya gotta bullet in ya fuckin' head!. Yeah!"
testify,The movie ran through me. The glamour subdue me. The tabloid untie me. I'm empty please fill me. Mister anchor assure me. That Baghdad is burning. Your voice it is so soothing. That cunning mantra of killing. I need you my witness. To dress this up so bloodless. To numb me and purge me now. Of thoughts of blaming you. Yes the car is our wheelchair. My witness your coughing. Oily silence mocks the legless. As we travel now in coffins. But on the corner. The jury's sleepless. We found your weakness. And it's right outside our door. Now testify. With precision you feed me. My witness I'm hungry. Your temple it calms me. So I can carry on. My slaving sweating the skin right off my bones. On a bed of fire I'm choking on the smoke that fills my home. The wrecking ball rushing. My witness your blushing. The pipeline is gushing. While here we lie in tombs. While on the corner. The jury's sleepless. We found your weakness. And it's right outside your door. Now testify. Mass graves for the pump and the price is set. Who controls the past now controls the future. Who controls the present now controls the past. Who controls the past now controls the future. Who controls the present now?. Now testify
sleep now in the fire,"The world is my expense. The cost of my desire. Jesus blessed me with its future. And I protect it with fire. So raise your fists. And march around. Just dont take what you need. Ill jail and bury those committed. And smother the rest in greed. Crawl with me into tomorrow. Or Ill drag you to your grave. Im deep inside your children. Theyll betray you in my name. Hey, Hey. Sleep now in the fire. Hey, Hey. Sleep now in the fire. The lie is my expense. The scope of my desire. The party blessed me with its future. And I protect it with fire. I am the Nina The Pinta The Santa Maria. The noose and the rapist. The fields overseer. The agents of orange. The priests of Hiroshima. The cost of my desire. Sleep now in the fire. Hey, Hey. Sleep now in the fire. Hey, Hey. Sleep now in the fire. For its the end of history. Its caged and frozen still. There is no other pill to take. So swallow the one. That made you ill. The Nina The Pinta The Santa Maria. The noose and the rapist. The fields overseer. The agents of orange. The priests of Hiroshima. The cost of my desire. Sleep now in the fire. Sleep now in the fire. Sleep now in the fire. Sleep now in the fire. Sleep now in the fire"
take the power back,"Crack the music up.... Bring That Shit In. Yeah, the movement's in motion. With mass militant poetry. Now check this out.... in the right light, study becomes insight. but the system that dissed us teaches us to read and write. so-called facts are fraud. they want us to allege and pledge and. bow down into their god. lost the culture, the culture lost. spun our minds and through time. ignorance has taken over. we gotta take the power back. bam, here's the plan. mother fuck uncle sam. step back I know who I am. raise up your ear, I'll drop the style and clear. it's the beats and lyrics they fear. the rage is relentless. we need a movement with a quickness. you are the witness of change and to counteract. we gotta take the power back. Chorus:. we gotta take the power back. C'mon! C'mon!. we gotta take the power back. the present curriculum. I put my fist in 'em. eurocentric every last one of 'em. see right through the red, white and blue disguise. with lecture I puncture the structure of lies. installed in our minds and attempting to hold us back. we've got to take it back. 'cause holes in our spirit are causin tears and fears. one-sided stories for years and years and years. I'm inferior? who's inferior?. yeah, you needa check the interior. of the system who cares about only one culture. and that is why. we gotta take the power back. Chorus. the teacher stands in front of the class. but the lesson plan he can't recall. the students eyes dont perceive the lies. bouncing off every fucking wall. his compusure is well kept. I guess he fears playing the fool. the complacent students sit and listen to the bullshit. that he learned in school. europe, aint my rope to swing on. cant learn a thing from it. yet we hang from it. gotta get it, gotta get it together then. like the motherfucking weathermen. to expose and close the doors on those who try. to strangle and mangle the truth. 'cause the circle of hatred continues unless we react. we gotta take the power back. chorus. No More Lies"
know your enemy,"Huh. Yeah, we're comin' back then with another bombtrack. Think ya know what it's all about. Huh. Hey yo, so check this out. Yeah. Know your enemy. Come on. Born with insight and a raised fist. A witness to the slit wrist, that's with. As we move into '92. Still in a room without a view. Ya got to know. Ya got to know. That when I say go, go, go. Amp up and amplify. Defy. I'm a brother with a furious mind. Action must be taken. We don't need the key. We'll break in. Something must be done. About vengeance, a badge and a gun. 'Cause I'll rip the mike, rip the stage, rip the system. I was born to rage against 'em. Fist in ya face, in the place. And I'll drop the style clearly. Know your enemy...Know your enemy. Yeah. Hey yo, and dick with this...uggh. Word is born. Fight the war, fuck the norm. Now I got no patience. So sick of complacence. With the D the E the F the I the A the N the C the E. Mind of a revolutionary. So clear the lane. The finger to the land of the chains. What? The land of the free?. Whoever told you that is your enemy. Now something must be done. About vengeance, a badge and a gun. 'Cause I'll rip the mike, rip the stage, rip the system. I was born to rage against 'em. Now action must be taken. We don't need the key. We'll break in. (Maynard James Keenan of Tool). I've got no patience now. So sick of complacence now. I've got no patience now. So sick of complacence now. Sick of, sick of, sick of, sick of you. Time has come to pay.... Know your enemy. Come on. Yes I know my enemies. They're the teachers who taught me to fight me. Compromise. conformity. assimilation. submission. ignorance. hypocrisy. brutality. the elite. All of which are American dreams. All of which are American dreams. All of which are American dreams. All of which are American dreams."
