unbelievers,"Got a little soul. The world is a cold, cold place to be. Want a little warmth. But who's going to save a little warmth for me?. We know the fire awaits, unbelievers. All of the sinners the same. Girl, you and I will die unbelievers. Bound to the tracks of the train. If I'm born again. I know that the world will desagree. Wanna a little grace. But who is gonna save a little grace for me?. We know the fire awaits, unbelievers. All of the sinners the same. Girl, you and I will die unbelievers. Bound to the tracks of the train. I'm not excited. But should I be?. Is this the fate that half of the world has planned for me?. I know I love you. And you love the sea. Wonder if the water contains a little drop, little drop for me. See the sun go down. It's going on down when the night is deep. Want a little light. But who's going to save a little light for me?. We know the fire awaits, unbelievers. All of the sinners the same. Girl, you and I will die unbelievers. Bound to the tracks of the train. I'm not excited. But should I be?. Is this the fate that half of the world has planned for me?. I know I love you. And you love the sea. Wonder if the water contains a little drop, little drop for me. I'm not excited. But should I be?. Is this the fate that half of the world has planned for me?. I know I love you. And you love the sea. Wonder if the water contains a little drop, little drop for me"
harmony hall,"We took a vow in summertime. Now we find ourselves in late December. I believe that New Year's Eve. Will be the perfect time. For their great surrender. But they don't remember. Anger wants a voice. Voices wanna sing. Singers harmonize. Til they can't hear anything. I thought that I was free. From all that questioning. But every time a problem ends. Another one begins. And the stone walls of Harmony Hall. Bear witness. Anybody with a worried mind. Could never forgive the sight. Of wicked snakes. Inside a place. You thought was dignified. I don't wanna live like this. But I don't wanna die. I don't wanna live like this. But I don't wanna die. Within the halls of power lies. A nervous heart that beats. Like a Young Pretender's. Beneath these velvet gloves I hide. The shameful, crooked hands. Of a moneylender. Cuz I still remember. Anger wants a voice. Voices wanna sing. Singers harmonize. Til they can't hear anything. I thought that I was free. From all that questioning. But every time a problem ends. Another one begins. And the stone walls of Harmony Hall. Bear witness. Anybody with a worried mind. Could never forgive the sight. Of wicked snakes. Inside a place. You thought was dignified. I don't wanna live like this. But I don't wanna die. I don't wanna live like this. But I don't wanna die. And the stone walls of Harmony Hall. Bear witness. Anybody with a worried mind. Could never forgive the sight. Of wicked snakes. Inside a place. You thought was dignified. I don't wanna live like this. But I don't wanna die. I don't wanna live like this. But I don't wanna die. And the stone walls of Harmony Hall. Bear witness. Anybody with a worried mind. Could never forgive the sight. Of wicked snakes. Inside a place. You thought was dignified. I don't wanna live like this. But I don't wanna die"
a-punk,"Johanna drove slowly into the city. The Hudson River all filled with snow. She spied the ring on His Honor's finger. Oh-oh-oh. A thousand years in one piece of silver. She took it from his lilywhite hand. Showed no fear - she'd seen the thing. In the Young Men's Wing at Sloan-Kettering. Chorus:. Look outside at the raincoats coming, say Oh. His Honor drove southward seeking exotica. Down to the Pueblo huts of New Mexico. Cut his teeth on turquoise harmonicas. Oh-oh-oh. I saw Johanna down in the subway. She took an apartment in Washington Heights. Half of the ring lies here with me. But the other half's at the bottom of the sea. Chorus"
step,"Every time I see you in the world. You always step to my girl. Back, back, way back I used to front like Angkor Wat. Mechanicsburg, Anchorage and Dar es Salaam. While home in New York was champagne and disco. Tapes from L. A. slash San Francisco. But actually Oakland and not Alameda. Your girl was in Berkley with her communist reader. Mine was entombed with a boombox and walkman. I was a hoarder, but girl that was back then. The gloves are off, the wisdom teeth are out. What you on about?. I feel it in my bones. I feel it in my bones. I'm stronger now. I'm ready for the house. Such a modest mouse. I can't do it alone. I can't do it alone. Every time I see you in the world. You always step to my girl. Ancestors told me that their girl was better. She's richer than croesus. She's tougher than leather. I just ignored all the tales of a past life. Stale conversation deserves but a bread knife. And punks who would laugh when they saw us together. Well they didn't know how to dress for the weather. I can still see them there huddled on Astor. Snow falling slow to the sound of the master. The gloves are off, the wisdom teeth are out. What you on about?. I feel it in my bones. I feel it in my bones. I'm stronger now. I'm ready for the house. Such a modest mouse. I can't do it alone. I can't do it alone. Wisdom's a gift, but you'd trade it for youth. Age is an honor, it's still not the truth. We saw the stars when they hid from the world. You cursed the sun when it stepped to you girl. Maybe she's gone and I can't resurrect her. The truth is she doesn't need me to protect her. We know the true death, the true way of all flesh. Everyone's dying, but girl you're not old yet. The gloves are off, the wisdom teeth are out. What you on about?. I feel it in my bones. I feel it in my bones. I'm stronger now. I'm ready for the house. Such a modest mouse. I can't do it alone. I can't do it alone. The gloves are off, the wisdom teeth are out. What you on about?. I feel it in my bones. I feel it in my bones. I'm stronger now. I'm ready for the house. Such a modest mouse. I can't do it alone. I can't do it alone. Every time I see you in the world. You always step to my girl"
diane young,"You torched a Saab like a pile of leaves. I'd gone to find some better wheels. Four or five meters running 'round the bend. When the government agents surround you again. If Diane Young won't change your mind. Baby baby baby baby right on time. Out of control but you're playing a role. You think you can go to the eighteenth hole. Well, you flip-flop the day of the championship. Try to go it alone, you roll for a bit. If Diane Young won't change your mind. Baby baby baby baby right on time. Baby baby baby baby right on. Baby baby baby baby right on. Baby baby baby it's a light on. Baby baby baby it's a lifetime. Baby baby baby baby right on. Time, time, time, time, time. Baby baby baby baby right on time. Oooh, let 'em go. If Diane Young won't change your mind. Baby baby baby baby right on time. Irish and proud baby naturally. But you got the luck of a Kennedy. So grab the wheel, keep holding it tight. 'Til you're driving off in the black of the night. If Diane Young won't change your mind. Baby baby baby baby right on time. Baby baby baby baby right on. Baby baby baby baby right on. Baby baby baby it's a light on. Baby baby baby it's a lifetime. Baby baby baby baby right on. Time, time, time, time, time. Baby baby baby baby right on time. Nobody knows what the future holds on. Said it's bad enough just getting old. Live my life, they say it's too fast. You know I love the past, 'cause I hate suspense. If Diane Young won't change your mind. Baby baby baby baby right on time"
finger back,"Bend my finger back (snap). Wrap it in a paper towel. Break a twig in half and set it straight. Hit me with a wood bat. Hit me with a canister that's fired while. The soldiers drive away. Bend my finger back (snap). On and on and on and on for days. Hit me with a wood bat. Hit me like a Yankee, like a son of. Freedom, never as a slave. It's etiquette, you idiot. Spend time behind the line. Show sympathy to LA where the sun don't ever shine. Everybody wants you, but baby you are mine. And baby you're not anybody's fool. Bless me with a heart attack. A real crise cardiaque. And show me where to find the. Surgeon's knife. Eviscerate me now (hack). Take me to my punishment?. The punishment I needed all my life. Bend my finger back (snap). On and on and on and on with strife. Listen to my bum rap. Listen to the evidence exonerating me from. Being right. It's etiquette, you idiot. Spend time behind the line. Show sympathy to LA where the sun don't. Ever shine. Everybody wants you, but baby you are mine. Baby you're not anybody's fool. You know that I've been wicked and the. Road to hell is wide. Cursed by curiosity that made. Us go inside. Everyone was charming but we took 'em for a ride. Baby, you're not anybody's fool. [Repeat first verse]. The harpsichord is broken and the. Television's fried. The city's getting hotter like a. Country in decline. Everyone's a coward when you look. Them in the eyes. But baby, you're not anybody's fool. [Batshit Ezra Koenig spoken word interlude]. Sing next year in Jerusalem. You know -- the one at W. 103rd and B'way?. Cause this Orthodox girl fell in love with the guy at the falafel shop. And why not?. Should she have averted her eyes and just stared at the laminated poster of the Dome of the Rock?. And then blood, blood, blood, blood, blood, blood, blood, blood. And then blood, blood, blood, blood, blood, blood, blood, blood. Remembrances of holy days in Tarrytown and Rye. I don't wanna live like this, but I don't wanna die. Condolences to gentle hearts who. Couldn't bear to try. I don't wanna live like this, but I don't wanna die. Remembrances of holy days in Tarrytown and Rye. I don't wanna live like this, but I don't wanna die"
2021,"2021, will you think about me?. I could wait a year. but I shouldn't wait three. I don't wanna be. 2021, will you think about us?. Copper goes green. Steel beams go rust. It's a matter of. 2021, will you think about me?. I could wait a year. but I shouldn't wait three. I don't wanna be. 2021, will you think about us?. Copper goes green. Steel beams go rust. It's a matter of"
hannah hunt,"A gardener told me some plants move. But I could not believe it. Till me and Hannah Hunt. Saw crawling vines and weeping willows. As we made our way from Providence to Phoenix. A man of faith said. Hidden eyes could see what I was thinking. I just smiled and told him. That was only true of Hannah. And we glided on through Waverley and Lincoln. Our days were long our nights no longer. Count the seconds, watching hours. Though we live on the US dollar. You and me, we got our own sense of time. In Santa Barbara, Hannah cried. And missed those freezing beaches. And I walked into town. To buy some kindling for the fire. Hannah tore the New York Times up into pieces. If I can't trust you then damn it, Hannah. There's no future, there's no answer. Though we live on the US dollar. You and me, we got our own sense of time"
oxford comma,"Who gives a fuck about an Oxford comma?. I've seen those English dramas too. They're cruel. So if there's any other way. To spell the word. It's fine with me, with me. Why would you speak to me that way. Especially when I always said that I. Haven't got the words for you. All your diction dripping with disdain. Through the pain. I always tell the truth. Who gives a fuck about an Oxford comma?. I climbed to Dharamsala too. I did. I met the highest lama. His accent sounded fine. to me, to me. Check your handbook. It's no trick. Take the chapstick. Put it on your lips. Crack a smile. Adjust my tie. Know your boyfriend, unlike other guys. Why would you lie about how much coal you have?. Why would you lie about something dumb like that?. Why would you lie about anything at all?. First the window, then it's to the wall. Lil' Jon, he always tells the truth. Check your passport. It's no trick. Take the chapstick. Put it on your lips. Crack a smile. Adjust my tie. Know your butler, unlike other guys. Why would you lie about how much coal you have?. Why would you lie about something dumb like that?. Why would you lie about anything at all?. First the window, then it's through the wall. Why would you tape my conversations?. Show your paintings. At the United Nations. Lil' Jon, he always tells the truth"
don't lie,"One look sent knees to the ground. Young bloods can't be settling down. Young hearts need the pressure to pound. So hold me close my baby. Don't lie, I want 'em to know. God's love die young, is he ready to go?. It's the last time running through snow. Where the vaults are full and the fire is bold. [Chorus:]. I want to know, does it bother you?. The low click of a ticking clock. There's a lifetime right in front of you. And everyone I know. Young turks, young Saturday nights. Young hips shouldn't break on the ice. Old flames, they can warm you tonight. So keep it cool, my baby. Don't lie, I want 'em to know. Got love feelings and the tournament's gold. It's the last time running through snow. Where the vaults are full and the is bold. I want to know, does it bother you?. The low click of a ticking clock. There's a headstone right in front of you. And everyone I know. Don't lie, I'm want 'em to know. God's love die young, are you ready to go?. It's the last time running through snow. Cause the fire can't last and the winter's cold. [Chorus]. I want to know, does it bother you?. The low click of a ticking clock. There's a lifetime right in front of you. And everyone I know"
