iris,And I'd give up forever to touch you. Cause I know that you feel me somehow. You're the closest to heaven that I'll ever be. And I don't want to go home right now. And all I can taste is this moment. And all I can breathe is your life. Cause sooner or later it's over. I just don't want to miss you tonight. And I don't want the world to see me. Cause I don't think that they'd understand. When everything's made to be broken. I just want you to know who I am. And you can't fight the tears that ain't coming. Or the moment of truth in your lies. When everything feels like the movies. Yeah you bleed just to know you're alive. And I don't want the world to see me. Cause I don't think that they'd understand. When everything's made to be broken. I just want you to know who I am. (break and solo). And I don't want the world to see me. 'Cause I don't think that they'd understand. When everything's made to be broken. I just want you to know who I am. And I don't want the world to see me. 'Cause I don't think that they'd understand. When everything's made to be broken. I just want you to know who I am. I just want you to know who I am. I just want you to know who I am. I just want you to know who I am
slide,"Could you whisper in my ear. The things you wanna feel. I'd give ya anythin'. To feel it comin'. Do you wake up on your own?. And wonder where you are. You live with all your faults. I wanna wake up where you are. I won't say anything at all. So why don't you slide. Yeah I'm gonna let it slide. Don't you love the life you killed. The priest is on the phone. Your father hit the wall. Your ma disowned you. Don't suppose I'll ever know. What it means to be a man. Somethin' I can't change. I'll live around it. I wanna wake up where you are. I won't say anything at all. So why don't you slide. Mmm mmm slide. And I'll do anythin' you ever dreamed to be complete. Little pieces of the nothin' that fall. Oh May. Put your arms around me. What you feel is what you are. And what you are is beautiful. Oh May. Do you wanna get married, or run away?. And I'll do anythin' you ever dreamed to be complete. Little pieces of the nothin' that fall. Oh May. Put your arms around me. What you feel is what you are. And what you are is beautiful. Oh May. Do you wanna get married, or run away?. I wanna wake up where you are. I won't say anything at all. (yeah slide). And I'll do anythin' you ever dreamed to be complete. (yeah slide). Little pieces of the nothin' that fall. (yeah slide). And I'll do anythin' you ever dreamed to be complete. (yeah slide). Little pieces of the nothin' that fall. (Oh Oh Oh slide). Yeah, slide between the sheet of all the beds you never knew. (Yeah slide). Why don't you slide into my room. Just slide into my room. Oh, we'll run away, run away, run away..."
sympathy,Stranger than your sympathy. This is my apology. I´m killing myself from the inside out. And all my fears have pushed you out. And I wished for things that I don't need. All I wanted. And what I chase won't set me free. It's all I wanted. And I get scared but I'm not crawling on my knees. Oh yeah everything's all wrong yeah. Everything's all wrong yeah. Where the hell did I think I was?. Stranger than your sympathy. I take these things so I don't feel. I'm killing myself from the inside out. Now my head's been filled with doubt. It's hard to lead the life you choose. All I wanted. When all your luck's run out on you. All I wanted. You can't see when all your dreams are coming true. Oh yeah it's easy to forget yeah. You choke on the regrets yeah. Who the hell did I think I was. Stranger than your sympathy. All these thoughts you stole from me. I'm not sure where I belong. Nowhere's home and I'm all wrong. And I wasn't all the things. I tried to make believe I was. And I wouldn't be the one to kneel. Before the dreams I wanted. And all the talk and all the lies. Were all the empty things disguised as me. Yeah stranger than your sympathy stranger than your sympathy
i'm still here,"I am a question to the world. Not an answer to be heard. Or a moment that's held in your arms. And what do you think you'd ever say?. I won't listen anyway. You don't know me. And I'll never be what you want me to be. And what do you think you'd understand?. I'm a boy, no, I'm a man. You can't take me and throw me away. And how can you learn what's never shown?. Yeah, you stand here on your own. They don't know me. Cause I'm not here. Chorus:. And I want a moment to be real. Wanna touch things I don't feel. Wanna hold on and feel I belong. And how can the world want me to change?. They're the ones that stay the same. They don't know me. Cause I'm not here. And you see the things they never see. All you wanted I could be. Now you know me and I'm not afraid. And I want to tell you who I am. Can you help me be a man?. They can't break me. As long as I know who I am. Chorus:. And I want a moment to be real. Wanna touch things I don't feel. Wanna hold on and feel I belong. And how can the world want me to change?. They're the ones who stay the same. They can't see me. But I'm still here. They can't tell me who to be. Cause I'm not what they see. Yeah, the world is still sleepin'. While I keep on dreamin' for me. And their words are just whispers and lies. That I'll never believe. Chorus:. And I want a moment to be real. Wanna touch things I don't feel. Wanna hold on and feel I belong. And how can they say i'll never change?. They're the ones who stay the same. I'm the one now. 'Cause I'm still here. I'm the one. Cause I'm still here. I'm still here. I'm still here. I'm still here"
stay with you,"These streets. Turn me inside out. Everything shines. But leaves me empty still. And I'll, burn this lonely house down. If you run with me. If you run with me. I'll stay with you. The walls will fall before we do. Take my hand now. We'll run forever. I can feel the storm inside you. I'll stay with you. Fooled by my own desires. I twist my fate. Just to feel you. But you, turn me toward the light. And you're one with me. Will you run with me?. I'll stay with you. The walls will fall before we do. Take my hand now. We'll run forever. I can feel the storm inside you. I'll stay with you. Now come in from this storm. I taste you sweet and warm. Take what you need. Take what you need. From me. Wake up this world. Wake up tonight. And run with me. Run to me now. I'll stay with you. The walls will fall before we do. Take my hand now. We'll run forever. I can feel the storm inside you. I'll stay with you"
black balloon,"Baby's black balloon makes her fly. I almost fell into that hole in your life. And you're not thinking about tomorrow. 'Cause you were the same as me. But on your knees. A thousand other boys could never reach you. How could I have been the one. I saw the world spin beneath you. And scatter like ice from the spoon. That was your womb. Comin' down the world turned over. And angels fall without you there. And I go on as you get colder. Or are you someone's prayer. You know the lies they always told you. And the love you never knew. What's the things they never showed you. That swallowed the light from the sun. Inside your room, yeah. Comin' down the world turned over. And angels fall without you there. And I go on as you get colder. Always someone. And there's no time left for losin'. When you stand they fall. Comin' down the world turned over. And angels fall without you there. And I go on as you grow colder. All because I'm. Comin' down the years turn over. And angels fall without you there. And I'll go on now i need you hold me. All because I'm. All because I'm. And I'll become. What you became to me"
come to me,"I'll be kind, if you'll be faithful. You be sweet and I'll be grateful. Cover me with kisses dear. Lighten up the atmosphere. Keep me warm inside our bed. I got dreams of you all through my head. Fortune teller said I'd be free. And that's the day you came to me. Came to me. Doo Doo Doo Doo Doo, Doo Doo Doo Doo Doo. Come to me my sweetest friend. Can you feel my heart again. I'll take you back where you belong. And this will be our favorite song. Come to me with secrets bare. I'll love you more so don't be scared. When we're old and near the end. We'll go home and start again. OO OO OO, OO OO OO. I caught you burnin' photographs. Like that could save you from your past. History is like gravity. It holds you down away from me. You and me, we've both got sins. I don't care about where you've been. Don't be sad and don't explain. This is where we start again. Start again. Doo Doo Doo Doo Doo, Doo Doo Doo Doo Doo. Come to me my sweetest friend. Can you feel my heart again. I'll take you back where you belong. And this will be our favorite song. Come to me with secrets bare. I'll love you more so don't be scared. When we're old and near the end. We'll go home and start again. Start again. Doo Doo Doo Doo Doo, Doo Doo Doo Doo Doo. Today's the day I'll make you mine. So get me to the church on time. Take my hand in this empty room. You're my girl, and I'm your groom. Come to me my sweetest friend. This is where we start again, again. Come to me my sweetest friend. Can you feel my heart again. Take you back where you belong. This will be our favorite song. Come to me with secrets bare. I'll love you more so don't be scared. When we're old and near the end. We'll go home and start again (yeah). Start again (yeah). Doo Doo Doo Doo Doo, Doo Doo Doo Doo Doo"
more of you,"Now you pull me in and I feel so free. I wanna do to you what you do to me. Yeah you lift me up I never feel so high. Now you're making feel that I'm alive. No matter what I do, I always want more of you. Am I ever gonna get you next to me. Come on will you give me a sign. I think we both could use some mending. No matter what you say I'm gonna make you mine. Are you gonna keep me waiting. Are you gonna let me inside. When you're coming undone. Do you wanna run away tonight. Ooh tonight. Don't wanna give up. Don't wanna back down. Never ever gonna let you go. Now you pull me in and I feel so free. I wanna do to you what you do to me. Yeah you lift me up I never feel so high. Now you're making feel that I'm alive. No matter what I do, I always want more of you. I can't sleep here alone. Could you lay down beside me. If you're by me. If the world ends tonight"
caught in this storm,"When you kissed me. Yeah I felt so alive. Every little secret you told me. I keep down inside. And in that heated moment. yeah we swore we'd never change. But all those pretty pictures. they just start to fade away. And everything that I believed. is getting hard to find. Have I lost the only one. Who ever felt like mine. Now I'm, caught in this storm. we call love. So alone come find me. Out on my own. Take me home. Don't you know I'm lonely. I give you everything that you ask of me and I'll. Give you all I have if it makes you believe. 'cause I'm caught in this storm. we call love. I was taught to always turn the other cheek. But you know I took a beatin' and I stayed up on my feet. And this faith is gettin' heavy. but you know it carries me. To the streets, to the river. Where the broken dreams flow out into the sea. I keep on looking but something's always missing. I keep on looking for something bigger than me. From the saints to the sinners. all the losers and the winners. Yeah we're all just looking for something. Something to believe in. 'cause I'm caught in this storm. we call love. So alone come find me. Out on my own. Take me home. Don't you know I'm lonely. I give you everything that you ask of me. And I'll give you all I have if it makes you believe. 'cause I'm caught in this storm. we call love. We call love (we call love). I'm tired of sleeping. Sleeping through my own life. It's time to wake up. Wake up with eyes open wide. I'm tired of sleeping. Sleeping trough my own life. It's time to wake up with arms open wide. Now I'm caught in this storm. We call love so alone. come find me. Out on my own. Take me home. Don't you know I'm lonely. I give you everything that you ask of me and I'll. Give you all I have if it makes you believe. 'cause I'm caught in this storm. we call love. I'm tired of sleeping. Sleeping through my own life. It's time to wake up. Wake up with eyes open wide. I'm tired of sleeping. Sleeping through my own life. It's time to wake up. With eyes open wide. Open wide. Open wide"
artie,"Walking over the same old grass. Trying to stay on the beaten path. I don't need to apologize. For the things I don't recognize. Artie, take a look at me. may not wanna think about all the little things. That piss you off about me. Hey there man. I didn't trash your can. But I'll apologize for all the little things. That piss you off about me. Walking over the same ole ground. Thinking bout all the things we found. I don't wanna let it bring me down. I'm up and out of this dirty town. Artie, take a look at me. Might not wanna think about all the little things. That piss you off about me. Walking over the same ole grass. Trying to stay off the beaten path. I don't need to apologize. For the things I don't recognize. Walking over the same ole ground. Thinking bout all the things we found. I ain't gonna let it bring me down. I'm up and out of this dirty town."
