clint eastwood (feat. del the funky homosapien),"O O O O. I ain't happy, I'm feeling glad. I got sunshine, in a bag. I'm useless,but not for long. The future is coming on. I ain't happy, I'm feeling glad. I got sunshine, in a bag. I'm useless, but not for long. The future is coming on. It's coming on. It's coming on. It's coming on. It's coming on.... Yeah... Ha Ha!. Finally someone let me out of my cage. Now, time for me is nothing cos I'm counting no age. Nah I couldn't be there. Nah you shouldn't be scared. I'm good at repairs. And I'm under each snare. Intangible. Bet you didn't think so I command you to. Panoramic view. Look I'll make it all manageable. Pick and choose. Sit and lose. All you different crews. Chicks and dudes. Who you think is really kickin' tunes?. Picture you gettin' down in a picture tube. Like you lit the fuse. You think it's fictional. Mystical? Maybe. Spiritual. Hearable appears in you to clear your view. When you're too crazy. Lifeless. To those with definition for what life is. Priceless. For you because I put you on the hype shit. You like it?. Gunsmoke. You're righteous with one toke. You're psychic among those. Possess you with one go. I ain't happy, I'm feeling glad. I got sunshine, in a bag. I'm useless,but not for long. The future is coming on. I ain't happy, I'm feeling glad. I got sunshine, in a bag. I'm useless, but not for long. The future is coming on. It's coming on. It's coming on. It's coming on. The essence the basics. Without it you make it. Allow me to make this. Childlike in nature. Rhythm. You have it or you don't that's a fallacy. I'm in them. Every sprouting tree. Every child apiece. Every cloud and sea. You see with your eyes. I see destruction and demise. Corruption in disguise. From this fucking enterprise. Now I'm sucking to your lies. Through Russel, not his muscles. but the percussion he provides. with me as a guide. But y'all can't see me now. Cos you don't see with your eye. You perceive with your mind. That's the inner. So I'ma stick around with Russ and be a mentor. Bust a few rhymes so mother fuckers. Remember what the thought is. I brought all this. So you can survive when law is lawless. Feelings, sensations that you thought were dead. No squealing, remember. (That it's all in your head). I ain't happy, I'm feeling glad. I got sunshine, in a bag. I'm useless, but not for long. The future is coming on. I ain't happy, I'm feeling glad. I got sunshine, in a bag. I'm useless, but not for long. My future is coming on. It's coming on. It's coming on. It's coming on. It's coming on. My future is coming on. It's coming on. It's coming on. It's coming on. My future is coming on. It's coming on. It's coming on. It's coming on. My future is coming on. It's coming on. It's coming on. It's coming on. My future is coming on. It's coming on. It's coming on. It's coming on. My future"
feel good inc. (feat. de la soul),"City's breaking down on a camel's back.. They just have to go 'cos they don't know wack. So all you fill the streets it's appealing to see. You wont get out the county, 'cos you're bad and free. You've got a new horizon It's ephemeral style.. A melancholy town where we never smile.. And all I wanna hear is the message beep.. My dreams, they've got to kiss me, because I dont get sleep, no... Windmill, Windmill for the land.. Turn forever hand in hand. Take it all in on your stride. It is sticking, falling down. Love forever love is free. Let's turn forever you and me. Windmill, windmill for the land. Is everybody in?. Laughing gas these hazmats, fast cats,. Lining them up-a like ass cracks,. Ladies, homies, at the track. its my chocolate attack.. Shit, I'm stepping in the heart of this here. Care bear bumping in the heart of this here. watch me as I gravitate. hahahahahahaa.. Yo, we gonna go ghost town,. this motown,. with yo sound. you're in the place. you gonna bite the dust. Cant fight with us. With yo sound. you kill the Inc.. so dont stop, get it, get it. until you're cheddar header.. Yo, watch the way I navigate. Windmill, Windmill for the land.. Turn forever hand in hand. Take it all in on your stride. It is sticking, falling down. Love forever love is free. Let's turn forever you and me. Windmill, windmill for the land. Is everybody in?. Dont stop, get it, get it. we are your captains in it. steady,. watch me navigate,. ahahahahahhaa.. Dont stop, get it, get it. we are your captains in it. steady, watch me navigate"
19-2000,The world is spinning too fast. I'm buying lead Nike shoes. To keep myself tethered. To the days I tried to lose. My mama said to slow down. You must make your own shoes. Stop dancing to the music. Of Gorillaz in a happy mood. Keep a mild groove on. Here You Go!. Get the cool!. Get the cool shoe shine!. Get the cool!. Get the cool shoe shine!. Get the cool!. Get the cool shoe shine!. Get the cool!. Get the cool shoeshine!. There's a monkey in the jungle. Watching a vapour trail. Caught up in the conflict. Between his brain and his tail. And if time is elimination. Then we got nothing to lose. Please repeat the message. It's the music that we choose. Keep a mild groove on. OK bring it down here we gonna break out. Get the cool!. Get the cool shoe shine!. Get the cool!. Get the cool shoe shine!. Get the cool!. Get the cool shoe shine!. Get the cool!. Get the cool shoe shine!
tranz,"Oscillate yourself tonight. When you're in your bed. Assimilate the dopamine. Passing through your head. When you get back on a Saturday night. And the room is caving in. Do you look like me, do you feel like me. Do you turn into your effigy?. Do you dance like this?. Forever. See yourself in Cupid's lake. Chipped in your head. Do you indicate to the satellites. Passing by the edge. When you get back on a Saturday night. And your head is caving in. Do you look like me, do you feel like me. Do you turn into your effigy?. Do you dance like this?. Forever. Do you dance like this?. Forever. Do you look like me. Do you burn like me. Do you look like me. Do you burn like me. Do you look like me. Do you burn like me. Do you turn into your effigy?. Do you dance like this?. Forever. Do you live like this?. Forever. Do you dance. Do you dance. Do you dance. Do you dance"
on melancholy hill,"Up on Melancholy Hill. There's a plastic tree. Are you here with me?. Just looking out on the day. Of another dream. Where you can't get what you want. But you can get me. So let's set out to sea. 'Cause you are my medicine. When you're close to me. When you're close to me. So calling all submarines. 'Round the world we'll go. Does anybody know, love. If we're looking out on the day. Of another dream?. If you can't get what you want. Then come with me. Up on Melancholy Hill. Sits a manatee. Just looking out on the day. When you're close to me. When you're close to me. When you're close to me"
dare,"It's coming up. It's coming up. It's coming up. It's coming up. It's coming up. It's coming up. It's Dare. It's Dare. You've got to press it on you. You just, think it,. That's what you do, baby. Hold it down, Dare. Jump with the moon and move it. Jump back and forth. And feel like you were there yourself. Work it out. Never did no harm. Never did no harm. It's Dare. It's coming up. It's coming up. It's coming up. It's coming up. It's coming up. It's Dare. It's Dare. You've got to press it on you. You just, think it,. That's what you do, baby. Hold it down, Dare. Jump with them all and move it. Jump back and forth. And feel like you were there yourself. Work it out. Never did no harm. Never did no harm. It's Dare. It's coming up. It's coming up. It's coming up. It's coming up. It's coming up. It's Dare. You've got to press it on you. You just, think it,. That's what you do, baby. Hold it down, Dare. Jump with the moon and move it. Jump back and forth. And feel like you were there yourself. Work it out. You've got to press it on you. You just, think it,. That's what you do, baby. Hold it down, Dare. Jump with the moon and move it. Jump back and forth. And feel like you were there yourself. Work it out"
humility (feat. george benson),"Calling the world from isolation. 'Cause right now, that's the ball where we're betrayed. And if you're coming back to find me. You'd better have good aim. shoot, it true. I need you in the picture. that's why I'm calling you. I'm alone between the left hand. Reset myself and get back on track. I don't want this isolation. See the state I'm in now?. Caught in the hard to win the raffle. 'Cause right now that's the ball where we be chained. Shoot, it true. I want you in the picture. that's why I'm calling you. I'm alone between the left hand. Reset myself and get back on track. I don't want this isolation. See the state I'm in now?. If I pick it up when I know that it's broken. Do I put it back?. Or do I head out on to the lonesome track. and let you go?. I'm alone between the left hand. I dont want this isolation. See the state I'm in now?. If I pick it up when I know that it's broken. Do I put it back?. Or do I head out on to the lonesome track and let you go?"
dirty harry,"I need a gun to keep myself from harm. The poor people are burning in the sun. But they ain't got a chance. They ain't got a chance. I need a gun. Cos all I do is dance. Cos all I do is dance. I need a gun to keep myself from harm. The poor people are burning in the sun. No, they ain't got a chance. They ain't got a chance. I need a gun. Cos all I do is dance. Cos all I do is dance. In my backpack. I got my act right. In case you act quite difficult. And yo is so weakin'. With anger and discontent. Some are seeking and searching like me, moi. I'm a peace-loving decoy. Ready for retaliation. I change the whole occasion to a pine box six-under. Impulsive don't ask wild wonder. Orders given to me is. strike and I'm thunder with lightning. fast reflexes on constant alert. from the constant hurt that seems limitless. with no dropping pressure. Seems like everybody's out to test ya. 'til they see your brake. They can't conceal the hate. That consumes you. I'm the reason why you flipped your soosa. Chill with your old lady at the tilt. I got a 90 days digit. And I'm filled with guilt. From things that I've seen. Your water's from a bottle. mine's from a canteen. At night I hear the shots. Ring so I'm a light sleeper. The cost of life. it seems to get cheaper. out in the desert. with my street sweeper. The war is over. So said the speaker with the flight suit on. Maybe to him I'm just a pawn. So he can advance. Remember when I used to dance. Man, all I want to do is dance. (Dance!). (Dance!). (Dance!). I need a gun to keep myself from harm"
tomorrow comes today,Everybody's here with me. (we) Got no camera to see. Don't think I'm not all in this world. The camera won't let me go. And the verdict doesn't love our soul. The digital won't let me go. Yeah yeah yeah. I'll pay (yeah yeah yeah). When tomorrow. Tomorrow comes today. Stereo I want it on. It's taken me far too long. Don't think I'm not all in this world. I don't think I'll be here too long. I don't think I'll be here too long. I don't think I'll be here too long. Yeah yeah yeah. I'll pay. When tomorrow. Tomorrow comes today. (Da da da da da da da da).
feel good inc. (tablatura),"Tuning: DADGBE. . Bassguitar plays this riff throughout the song:. . g--------------------------------------------------|. d--------------------------------------------------|. a-6--6-8-9--14-13--11--11-14-13--9-6~--------------|. d--------------------------------------------------|. or. g--------------------------------------------------. d--------------------------------------------------. a-6--6-8-9--14-13--11--11-14-13--9-6~--------------. d--------------------------------------------------. 2nd Part. g--------------------------------------------------. d--------------------------------------------------. a---6-4--------------------------------------------. d-------8-6-4-1~-----------------------------------. . e|---------------------------------------------------------------------------|. B|---------------------------------------------------------------------------|. G|---------------------------------------------------------------------------|. D|---------------------------------------------------------------------------|. A|---------2-1---------------------------------------------------------------|. D|-0-0-2-3---------4-4-7-6-3-0-/13-------------------------------------------|. . guitar plays this:. e|-11----11------------------------------------------------------------------|. B|----11----11---14---14----12----12-----------------------------------------|. G|------------------13---13----13-----8-/108--/-----------------------------|. D|---------------------------------------------------------------------------|. A|---------------------------------------------------------------------------|. D|---------------------------------------------------------------------------|. . City's breaking down on a camel's back.. They just have to go 'cos they dont hold back. So all you fill the streets it's appealing to see. You wont get out the county, 'cos you're bad and free. You've got a new horizon It's ephermal style.. A melancholy town where we never smile.. And all I wanna hear is the message beep.. My dreams, they've got to kiss, because I dont get sleep, no... Bass plays this before next verse. e|---------------------------------------------------------------------------|. B|---------------------------------------------------------------------------|. G|---------------------------------------------------------------------------|. D|---------------------------------------------------------------------------|. A|---------------------------------------------------------------------------|. D|--9-8-7-6-4-1-X-X----------------------------------------------------------|. . D#m A#m. Windmill, Windmill for the land.. G#m Bbm. Learn forever hand in hand. D#m A#m. Take it all in on your stride. G#m Bbm. It is sticking, falling down. D#m A#m. Love forever love is free. G#m Bbm. Let's turn forever you and me. D#m A#m. windmill, windmill for the land. G#m. Is everybody in?. . play this riff three times before next verse. e|---------------------------------------------------------------------------|. B|---------------------------------------------------------------------------|. G|--6-6-6-8 6 8----------------------------------------------------------------|. D|--6-6-6-8-6-8--------------------------------------------------------------|. A|--4-4-4-6-4-6--------------------------------------------------------------|. D|---------------------------------------------------------------------------| X3. . D#m A#m G#m Bbm. e|--6------6----4----1---------------------------------------------------------|. B|--7------6----4----2---------------------------------------------------------|. G|--8------6----4----3---------------------------------------------------------|. D|--8------8----6----3---------------------------------------------------------|. A|--6------8----6----1---------------------------------------------------------|. D|---------8----6--------------------------------------------------------------|"
