take me out,"So if you're lonely. You know I'm here. Waiting for you. I'm just a crosshair. I'm just a shot away from you. And if you leave here. You leave me broken. Shattered I lie. I'm just a crosshair. I'm just a shot then we can die. I know I won't be leaving here. With you. I say don't you know. You say you don't know. I say... take me out. I say you don't show. Don't move time is slow. I say... take me out. I say you don't know. You say you don't go. I say... take me out. If I move this could die. If eyes move this could die. I want you... to take me out. I know I won't be leaving here (with you). I know I won't be leaving here. I know I won't be leaving here (with you). I know I won't be leaving here with you. I say don't you know?. You say you don't know. I say...take me out. If I wane, this can die. If I wane, this can die. I want you to take me out. If I move, this could die. If eyes move, this could die. Come on, take me out. I know I won't be leaving here (with you). I know I won't be leaving here. I know I won't be leaving here (with you). I know I won't be leaving here with you"
walk away,"I swapped my innocence for pride. Crushed the end within my stride. Said I'm strong now I know that I'm a leaver. I love the sound of you walking away. Mascara bleeds a blackened tear. And I am cold. Yes, I'm cold, but not as cold as you are. I love the sound of you walking away. Why don't you walk away?. Why don't you walk away?. No buildings will fall down. Why don't you walk away?. No quake will split the ground. Why don't you walk away?. The sun won't swallow the sky. Why don't you walk away?. Statues will not cry. Why don't you walk away?. I cannot turn to see those eyes. As apologies may rise. I must be strong and stay an unbeliever. And love the sound of you walking away. Mascara bleeds into my eye. I'm not cold. I am old. At least As old as you are. As you walk away?. As you walk away. My headstone crumbles down. As you walk away. The Hollywood wind's a howl. As you walk away. The Kremlin's falling. As you walk away. Radio Four is STATIC. As you walk away. The stab of stiletto. On a silent night. Stalin Smiles. Hitler laughs. Churchill claps. Mao Tse Tung on the back. . (fonte: site oficial)"
this fire,"Eyes, boring a way through me. Paralyse, controlling completely. Now there is a fire in me. A fire that burns. This fire is out of control. I'm going to burn this city. Burn this city. This fire is out of control. I'm going to burn it. I'll burn it. I'll burn it down. . Eyes, burning a way through me. Overwhelm, destroying so sweetly. Now, there is a fire within me. A fire that burns. This fire is out of control. I'm going to burn this city. Burn this city. This fire is out of control. Then I, I'm out of control. And I burn. Oh, how I burn. . This fire is out of control. I'm going to burn this city. Burn this city"
no you girls,"Ooh kiss me. lick your cigarette then kiss me. Kiss me where your eye won't meet me. Meet me where your mind won't kiss me. lick your eyes and mine and then hit me. Hit me with your eyes so sweetly. Oh you know, you know, you know that yes I love. I mean I'd love to get to know you. Do you never wonder? No. No no no you girls never know. Oh no you girls'll never know. No you girls never know. How you make a boy feel. You girls never know. Oh no, you girls'll never know. No you girls never know. How you make a boy feel. How you make a boy. Oh kiss me. lick your cigarette then kiss me. Kiss me where your eye won't meet me. Meet me where your eye won't flick me. Flick your mind and mine so briefly. Oh you know, you know you're so sweetly. Oh you know, you knowt I know that I love you. I mean I, I mean I need to love. Do you never wonder? No. No no no you girls never know. Oh no, you girls'll never know. No you girls never know. How you make a boy feel. You girls never know. Oh no, you girls'll never know. No you girls never know. How you make a boy feel. How you make a boy feel. How you make a boy. Sometimes I say stupid things. That I think well, I mean I. Sometimes I think the stupidest things. Because I never wonder. Oh how the girl feels. Oh how the girl feels. No you boys never care. Oh no you boys never care. No you boys never care. How the girl feels. No you boys never care. You dirty boys never care. No you boys never care. How the girl feels. Oh how the girl feels. Oh how the girl feels"
do you want to,"Oh when I woke up tonight I said I. I'm gonna make somebody love me. I'm gonna make somebody love me. And now I know, now I know, now I know. I know that it's you. You're lucky, lucky. You're so lucky!. Oh well do you, do you do you want to?. Oh well do you, do you do you want to, want to go. Where I've never let you before?. Oh well do you, do you do you want to?. Oh well do you, do you do you want to, want to go. Of what I've never let you before?. Well he's a friend and he's so proud of you. He's a friend and I knew him before you, oh yeah. Well he's a friend and we're so proud of you. You're famous friend well I blew him before you, oh yeah. Oh well do you, do you do you want to?. Oh well do you, do you do you want to, want to go. Where I've never let you before?. Well here we are at the transmission party. I love your friends they're all so arty, oh yeah. Oh when I woke up tonight I said I. I'm gonna make somebody love me. I'm gonna make somebody love me. And now I know, now I know, now I know. I know that it's you. You're lucky, lucky. You're so lucky!. Oh well do you, do you do you want to?. Oh well do you, do you do you want to, want to go. Of what I've never let you before?. Oh lucky lucky. You're so lucky. Lucky lucky. You're so lucky. Lucky lucky. You're so lucky. Lucky lucky. You're so lucky. Lucky lucky. You're so lucky. Oh lucky lucky. You're so lucky. Yeah!"
always ascending,"Put your ladder down. Put your ladder down. Put your ladder down. Put your ladder down. Put your ladder down. Don't be concerned. It's just the way that gravity works round here. All slowly rising, falling patiently. Feel no. Feel no fear. Cirrus caress you. Cumulus kiss you. Raindrops of crystal. Whisper ""we'll miss you"". But go. Let go. Always and always and always ascending. The opening line leaves an uncertain ending. Always and always and always ascending. The chords seem to pause, but ahh. Never going to resolve, never going to resolve. Never going to resolve, never going to resolve. Never going to resolve, never going to resolve. Never going to resolve, never going to resolve. Talk to me. Talk to me. C'mon talk to me, talk to me. Yeah talk to me, talk to me. Wake me up. C'mon wake me up. Waking up dry. Waking up dusty. Feeling remorse. Feeling thirsty. Bring me a cup. Bring me water. We can ascend from this arrangement. We can see fate as entertainment. Bring me a cup. Bring me water. Bring me water. Always and always and always ascending. The Shepard misleads so you think you're transcending. Always and always and always ascending. Pause the progression, but ahh. Never going to resolve, never going to resolve. Never going to resolve, never going to resolve. Never going to resolve, never going to resolve. Never going to resolve, never going to resolve. Talk to me. Talk to me. C'mon talk to me, talk to me. Yeah talk to me, talk to me. Wake me up. C'mon wake me up. Waking up dry, waking up dusty. Feeling remorse, feeling thirsty. Bring me a cup. Bring me water. Bring me water. Bring me water. Bring me water. Bring me water, yeah. Put your ladder down. Put your ladder down. Put your ladder down. Put your ladder down. Cirrus caress you. Cumulus kiss you. Raindrops of crystal. Whisper ""we'll miss you"". But go (Put your ladder down). Let go"
feel the love go,"Hey, what's that thing that you're doing?. Hey, what's that thing that you do?. No, you're not that thing that you're doing. For the things that you do are not who you are. Why don't you come over here?. Why don't you come over here?. Why don't you come over here?. Why don't you come over. Think of a friend (love). And wish them love. Think of an enemy (more). And wish them more. See, see the things that you're doing. See, oh see the things that you do. See the things that you do are not who you are. Why don't you come over here?. Why don't you come over here?. Why don't you come over here?. Why don't you come over. Think of a friend (love). And wish them love. Think of an enemy (more). And wish them more. Think of armory (love). Like them, wish them all your love. Then feel the love return. Feel the love infecting. Feel the love infinity. Then let it go. Let the love go. Oh, let the love go. Oh, let the love go. Oh, let the love go. Feel the love go. Feel the love go. Feel the love then go. Feel the love then go. Feel the love go (love go). Feel the love go (the love go). Feel the love go (go-o). Feel the love go (love go). Love go, yeah feel the love go. Yeah feel the love go, go. Yeah feel the love go, oh. Yeah feel the love go, go. Yeah feel the love go, go-o-o"
jacqueline,"Jacqueline was seventeen, working on a desk. When Ivor peered above her spectacle. Forgot that he had wrecked a girl. Sometime these eyes forget the face. they're peering from. When the face they peer upon. Well you know that face as I do. And how in the return of the gaze. She can return you the face that you're staring from. It's always better on holiday. So much better on holiday. That's why we only work. when we need the money. It's always better on holiday. So much better on holiday. That's why we only work. when we need the money. Gregor was down again. Said, 'Come on, kick me again'. Said, 'I'm so drunk. I don't mind if you kill me'. Come on you gutless. But, I'm alive. I'm alive. I'm alive and how I know it. But for chips, and for freedom I could die. It's always better on holiday. So much better on holiday. That's why we only work. when we need the money. It's always better on holiday. So much better on holiday. That's why we only work. when we need the money. It's always better on holiday. So much better on holiday. That's why we only work. when we need the money"
"all for you, sophia","Bang bang, Gavrilo Princip. Bang bang, shoot me Gavrilo. Bang bang, the first six are for you. Bang bang, the seventh is for me. Bang bang, Gavrilo Princip. Bang bang, Europe's going to weep. All for you, all for you, all for you, Sophia (x4). Bang bang, history's complete. Bang bang, shoot me Gavrilo. Bang bang, the first six are for you. Bang bang, the seventh is for me. Bang bang, Gavrilo Princip. Bang bang, shoot me Gavrilo. All for you, all for you, all for you, Sophia (x4). The Black Hand holds the gun. The devil takes his run. Urban, take the Appel Quay. It's June the twenty-eighth. The seventh was for me. Bang bang, Gavrilo Princip. Bang bang, shoot me Gavrilo. Bang bang, the first six are for you. Bang bang, the seventh is for me. Bang bang, Gavrilo Princip. Bang bang, shoot me Gavrilo"
love illumination,"When you're happy from a dream. Is it hard to work out what's real. Is the real over there. More vivid than here ever feels. We could love, we could love you. If you need somebody to love you. While you're looking for somebody to love. Sweet love illumination. Sweet, sweet love elevation. Outside, fresh other side. But inside love, you will be alright. Sweet love illumination. Sweet, sweet love celebration. Got covered, reason term. But it'll bring you up. You will be alright. You will be alright. It's a black pool, bright light. Brighter than the light in your home. Well, you want to be loved. But nobody else seems to know. We could love, we could love you. If you need somebody to love you. While you're looking for somebody to love. Sweet love illumination. Sweet, sweet love elevation. Outside, fresh other side. But inside love, you will be alright. Sweet love illumination. Sweet, sweet love celebration. Got covered, reason term. But it'll bring you up. You will be alright. We could love, we could love you. If you need somebody to love you. While you're looking for somebody. We're all looking for somebody. We're all looking for somebody to love. Sweet love illumination. Sweet, sweet love elevation. Outside, fresh other side. But inside love, you will be alright. Sweet love illumination. Sweet, sweet love celebration. Got covered, reason term. But it'll bring you up. You will be alright. Sweet love. Sweet, sweet love. Sweet, sweet love. Sweet, sweet love. Sweet, sweet love. Sweet love"
